Category,1 Star Reviews,2 Star Reviews,3 Star Reviews,4 Star Reviews,5 Star Reviews,Positive Reviews,Negative Reviews,All Reviews Count,Average Rating
Travel Services,1812,373,480,803,3283,4086,2185,6751,3.4994815582876613
Swimming Pools,1391,781,1191,2469,3787,6256,2172,9619,3.6736667013203035
Utilities,913,40,26,47,279,326,953,1305,2.0337164750957855
Ramen,1576,2107,4004,7609,9234,16843,3683,24530,3.8486750917244192
Battery Stores,142,35,15,59,301,360,177,552,3.619565217391304
Amusement Parks,1980,1441,2324,4612,6823,11435,3421,17180,3.7483701979045403
Arcades,1771,1221,1626,3158,4696,7854,2992,12472,3.6243585631815267
Go Karts,237,128,164,281,503,784,365,1313,3.521706016755522
Salad,13526,12474,17608,37374,59383,96757,26000,140365,3.830791151640366
Soup,4474,4224,6457,12932,18514,31446,8698,46601,3.789425119632626
Seafood Markets,416,438,733,1944,3217,5161,854,6748,4.05334914048607
Insulation Installation,110,16,10,17,471,488,126,624,4.158653846153846
Tapas Bars,2198,2397,4133,9223,13081,22304,4595,31032,3.9213714874967773
Cannabis Clinics,310,87,82,161,1367,1528,397,2007,4.090184354758346
Hotels,33369,21244,28270,46885,41790,88675,54613,171558,3.247630538943098
Tapas/Small Plates,2788,3524,5672,12878,20466,33344,6312,45328,3.98636604306389
Breweries,3100,3972,6773,14796,16621,31417,7072,45262,3.836595819893067
Pediatricians,1351,300,169,378,1862,2240,1651,4060,3.270935960591133
Prenatal/Perinatal Care,23,5,7,8,57,65,28,100,3.71
Lactation Services,34,8,6,21,351,372,42,420,4.54047619047619
Poutineries,310,520,1015,2098,2049,4147,830,5992,3.843791722296395
Bookstores,478,336,839,2072,3034,5106,814,6759,4.0131676283473885
Cafeteria,99,84,148,315,466,781,183,1112,3.8678057553956835
Firearm Training,41,9,10,27,573,600,50,660,4.63939393939394
Gun/Rifle Ranges,491,209,250,763,3268,4031,700,4981,4.226259787191327
Walk-in Clinics,239,48,34,69,257,326,287,647,3.088098918083462
Real Estate Agents,1084,83,44,126,5111,5237,1167,6448,4.255738213399503
Salvadoran,185,106,183,536,881,1417,291,1891,3.96351136964569
Greek,3938,3786,5639,13387,21562,34949,7724,48312,3.928320086106971
Trainers,3636,1573,1773,3378,11530,14908,5209,21890,3.803700319780722
Food Delivery Services,3415,2134,2999,6885,12516,19401,5549,27949,3.8212458406383054
Weight Loss Centers,963,240,162,461,4398,4859,1203,6224,4.139299485861183
Dermatologists,1180,248,116,283,1861,2144,1428,3688,3.3787960954446854
Pool Cleaners,904,134,54,144,3084,3228,1038,4320,4.011574074074074
Adult Entertainment,3009,1581,2332,3699,5209,8908,4590,15830,3.411749842072015
Pilates,574,224,266,676,3103,3779,798,4843,4.137724550898204
Climbing,73,51,89,390,787,1177,124,1390,4.271223021582734
Filipino,1144,898,1456,2653,2994,5647,2042,9145,3.5965008201202844
Gymnastics,118,38,44,110,612,722,156,922,4.1496746203904555
Recreation Centers,326,234,336,1026,2080,3106,560,4002,4.0744627686156925
Taxis,2538,290,189,416,1864,2280,2828,5297,2.769303379271286
Airport Shuttles,2617,364,278,626,2995,3621,2981,6880,3.1479651162790696
Bed & Breakfast,174,140,164,488,979,1467,314,1945,4.006683804627249
Bavarian,33,55,91,176,104,280,88,459,3.5729847494553377
Palatine,0,1,10,12,3,15,1,26,3.6538461538461537
Office Equipment,930,242,325,438,998,1436,1172,2933,3.1131946812137743
CPR Classes,28,6,6,28,374,402,34,442,4.615384615384615
First Aid Classes,12,5,6,19,271,290,17,313,4.699680511182109
Colonics,55,7,4,16,214,230,62,296,4.10472972972973
Middle Eastern,3694,2995,4830,11445,19822,31267,6689,42786,3.951385967372505
Imported Food,1095,832,1684,3599,3999,7598,1927,11209,3.765010259612811
Permanent Makeup,567,152,107,259,4134,4393,719,5219,4.387430542249473
Thrift Stores,877,635,943,1656,1923,3579,1512,6034,3.5159098442161087
Golf,1409,930,1223,2821,4220,7041,2339,10603,3.7085730453645196
Food Stands,514,526,978,2229,4539,6768,1040,8786,4.110061461415889
Street Vendors,416,440,749,1866,4368,6234,856,7839,4.190202831993877
Blow Dry/Out Services,917,336,252,640,7440,8080,1253,9585,4.392801251956182
Financial Advising,243,38,24,65,1080,1145,281,1450,4.173103448275862
Mortgage Brokers,1355,191,130,188,2177,2365,1546,4041,3.4060876020786934
Spanish,1150,1396,2287,4605,6967,11572,2546,16405,3.9047851264858275
Smokehouse,353,473,745,1718,2464,4182,826,5753,3.950286806883365
Registration Services,149,14,31,56,513,569,163,763,4.009174311926605
RV Repair,357,39,19,43,715,758,396,1173,3.6138107416879794
RV Dealers,465,50,34,69,702,771,515,1320,3.3734848484848485
Metal Fabricators,93,22,14,45,423,468,115,597,4.144053601340033
Do-It-Yourself Food,531,422,673,1425,2496,3921,953,5547,3.8893095366864974
Self Storage,1966,227,195,513,5845,6358,2193,8746,3.919734735879259
Head Shops,84,36,40,90,575,665,120,825,4.255757575757576
Carpet Installation,312,42,39,77,1439,1516,354,1909,4.199057097957046
Fruits & Veggies,542,446,736,2241,3943,6184,988,7908,4.087126960040465
Resorts,9469,6400,8497,14905,14215,29120,15869,53486,3.3364805743559063
Vacation Rentals,941,339,468,978,1039,2017,1280,3765,3.2217795484727754
Public Transportation,800,378,733,1045,838,1883,1178,3794,3.1958355297838694
Train Stations,40,83,257,248,104,352,123,732,3.400273224043716
Metro Stations,1,3,5,3,18,21,4,30,4.133333333333334
Hookah Bars,965,471,648,1215,2963,4178,1436,6262,3.7569466624081764
Home Inspectors,336,47,30,79,1762,1841,383,2254,4.279503105590062
Motorcycle Dealers,801,178,127,370,2045,2415,979,3521,3.761147401306447
Beer Gardens,659,579,934,2226,3235,5461,1238,7633,3.890737586794183
Comic Books,156,109,206,499,1463,1962,265,2433,4.23468968351829
Special Education,87,23,21,65,344,409,110,540,4.029629629629629
Pediatric Dentists,788,155,83,209,4602,4811,943,5837,4.31608703100908
Obstetricians & Gynecologists,1768,341,201,358,2591,2949,2109,5259,3.316219813652786
Pet Transportation,3,1,2,5,154,159,4,165,4.8545454545454545
Dog Walkers,138,34,17,59,2215,2274,172,2463,4.696711327649208
Boot Camps,391,140,158,412,3306,3718,531,4407,4.384615384615385
Interval Training Gyms,128,39,36,110,1871,1981,167,2184,4.628663003663004
Hospitals,3016,548,437,898,2685,3583,3564,7584,2.9588607594936707
Noodles,2904,2747,5273,11024,12859,23883,5651,34807,3.8098083718792197
Solar Installation,349,47,24,53,946,999,396,1419,3.8456659619450315
Maternity Wear,121,54,63,124,259,383,175,621,3.5571658615136874
Parenting Classes,8,1,5,4,36,40,9,54,4.092592592592593
Diagnostic Services,1551,317,254,412,1788,2200,1868,4322,3.1316520129569643
Diagnostic Imaging,766,164,135,208,1095,1303,930,2368,3.2964527027027026
Windshield Installation & Repair,1297,254,201,448,5021,5469,1551,7221,4.058302174214098
Estate Planning Law,95,8,4,21,535,556,103,663,4.346907993966817
Bankruptcy Law,165,15,6,23,681,704,180,890,4.168539325842697
Personal Injury Law,337,25,14,62,2081,2143,362,2519,4.399364827312426
Portuguese,535,513,948,1961,2258,4219,1048,6215,3.78744971842317
Real Estate Services,2918,379,249,458,6258,6716,3297,10262,3.658643539271097
Szechuan,836,507,731,1583,2241,3824,1343,5898,3.658867412682265
Martial Arts,329,82,76,228,3079,3307,411,3794,4.488139167105957
Gas Stations,3371,1108,1538,2504,4089,6593,4479,12610,3.2245836637589216
Organic Stores,466,434,716,1741,2735,4476,900,6092,3.9594550229809586
Indonesian,66,95,210,379,382,761,161,1132,3.8091872791519434
Couriers & Delivery Services,1245,136,146,264,1664,1928,1381,3455,3.2795947901591895
Tacos,747,679,977,2227,4943,7170,1426,9573,4.038336989449493
Threading Services,430,179,122,488,3649,4137,609,4868,4.385990139687757
Truck Rental,690,86,90,181,833,1014,776,1880,3.2026595744680852
Parking,475,95,111,258,927,1185,570,1866,3.5718113612004285
Cosmetic Surgeons,710,125,71,165,2907,3072,835,3978,4.114630467571644
Farmers Market,511,530,943,3091,5413,8504,1041,10488,4.178966437833715
Legal Services,173,11,8,29,1046,1075,184,1267,4.392265193370166
Criminal Defense Law,288,22,11,43,1669,1712,310,2033,4.368912936546975
Rugs,359,78,64,183,588,771,437,1272,3.4426100628930816
Halal,1943,1318,2077,4544,7955,12499,3261,17837,3.854964399843023
Children's Clothing,772,435,543,977,1573,2550,1207,4300,3.4986046511627906
Decks & Railing,57,17,10,27,164,191,74,275,3.8145454545454545
Wheel & Rim Repair,850,202,146,446,4279,4725,1052,5923,4.199054533175755
Bail Bondsmen,26,0,2,2,135,137,26,165,4.333333333333333
Kosher,379,282,400,910,1753,2663,661,3724,3.906552094522019
Food Court,461,381,568,820,786,1606,842,3016,3.361074270557029
Lingerie,379,199,246,490,1452,1942,578,2766,3.8810556760665222
Educational Services,153,72,104,347,1207,1554,225,1883,4.265533722782793
Tutoring Centers,37,8,11,41,435,476,45,532,4.55827067669173
Preschools,612,119,86,249,2410,2659,731,3476,4.071921749136939
Austrian,37,46,55,163,180,343,83,481,3.8378378378378377
International Grocery,163,106,240,713,770,1483,269,1992,3.914156626506024
Signmaking,485,113,95,192,1067,1259,598,1952,3.636782786885246
Hawaiian,1998,1888,3266,7637,13741,21378,3886,28530,4.024710830704522
Investing,143,24,14,33,360,393,167,574,3.7717770034843205
Southern,3989,4142,5806,12325,17193,29518,8131,43455,3.796018870095501
Dominican,37,28,32,74,158,232,65,329,3.8753799392097266
Paintball,55,26,42,85,245,330,81,453,3.9690949227373067
Custom Cakes,270,210,311,698,2033,2731,480,3522,4.1396933560477
Adult,121,64,132,295,1004,1299,185,1616,4.235767326732673
Visitor Centers,0,1,1,18,34,52,1,54,4.574074074074074
Belgian,400,528,841,1641,1322,2963,928,4732,3.624894336432798
Recycling Center,175,36,27,91,411,502,211,740,3.712162162162162
Race Tracks,107,53,84,193,593,786,160,1030,4.079611650485437
Music & DVDs,503,297,502,1402,1986,3388,800,4690,3.8680170575692965
Vinyl Records,105,81,168,558,1093,1651,186,2005,4.223441396508728
Meat Shops,586,454,754,2533,5713,8246,1040,10040,4.2283864541832665
Vegan,3620,3969,6661,16664,31611,48275,7589,62525,4.098392642942823
Cuban,376,426,537,1285,1752,3037,802,4376,3.8251828153564897
Campgrounds,139,63,76,180,297,477,202,755,3.5735099337748344
Wine Tours,16,7,16,29,227,256,23,295,4.505084745762712
Lebanese,567,506,744,2011,4387,6398,1073,8215,4.113207547169812
Refinishing Services,68,17,10,53,1173,1226,85,1321,4.700227100681302
Kitchen & Bath,1159,389,611,1413,3467,4880,1548,7039,3.801250177582043
Brasseries,536,749,1412,2784,2844,5628,1285,8325,3.7989189189189188
Festivals,652,511,898,1560,1840,3400,1163,5461,3.6271745101629738
Dance Schools,97,44,53,153,847,1000,141,1194,4.347571189279732
Dance Studios,175,82,82,274,2119,2393,257,2732,4.493411420204978
Creperies,993,1121,1956,4575,7294,11869,2114,15939,4.007340485601355
Flooring,1180,206,151,342,4878,5220,1386,6757,4.114695870948646
Cocktail Bars,8574,8270,12048,24757,37413,62170,16844,91062,3.8144451033361886
Electricians,879,84,56,169,3462,3631,963,4650,4.129247311827957
Country Clubs,76,46,82,169,281,450,122,654,3.814984709480122
Amateur Sports Teams,262,109,212,613,1073,1686,371,2269,3.9369766416923757
Day Camps,31,9,13,40,155,195,40,248,4.125
Cheesesteaks,1359,1115,1396,2820,4807,7627,2474,11497,3.7481082021396888
Pasta Shops,318,296,377,833,1840,2673,614,3664,3.9773471615720526
Horseback Riding,152,49,89,203,773,976,201,1266,4.102685624012638
Boxing,143,55,62,169,1602,1771,198,2031,4.492860659773511
Turkish,404,441,743,1872,2741,4613,845,6201,3.98451862602806
Laboratory Testing,623,126,100,159,515,674,749,1523,2.8798424162836507
Dog Parks,167,158,322,872,1089,1961,325,2608,3.980828220858896
Tanning Beds,186,73,52,135,935,1070,259,1381,4.12961622013034
Home Energy Auditors,31,7,5,21,332,353,38,396,4.555555555555555
Airports,2643,1480,3048,4045,2137,6182,4123,13353,3.1163034524076987
Pharmacy,128,55,65,111,173,284,183,532,3.274436090225564
Tai Chi,14,3,3,11,190,201,17,221,4.6289592760181
Employment Agencies,321,40,26,45,489,534,361,921,3.3702497285559176
Musical Instruments & Teachers,324,153,184,484,1683,2167,477,2828,4.078147100424328
Watch Repair,280,70,56,166,2003,2169,350,2575,4.375533980582524
Watches,613,149,136,379,2593,2972,762,3870,4.082687338501292
Air Duct Cleaning,362,60,54,144,3372,3516,422,3992,4.529058116232465
Herbs & Spices,46,20,64,225,843,1068,66,1198,4.501669449081803
Pan Asian,514,429,605,888,851,1739,943,3287,3.344691207788257
Orthotics,79,19,11,25,222,247,98,356,3.8202247191011236
Tree Services,643,117,91,236,2681,2917,760,3768,4.113322717622081
Accountants,258,36,11,60,1384,1444,294,1749,4.301315037164094
Tax Services,314,51,29,72,1501,1573,365,1967,4.217590238942552
Party Supplies,512,175,324,578,1951,2529,687,3540,3.9268361581920903
Shanghainese,75,31,94,163,136,299,106,499,3.509018036072144
Child Care & Day Care,777,202,218,577,2782,3359,979,4556,3.962467076382792
Middle Schools & High Schools,176,23,39,97,457,554,199,792,3.803030303030303
Elementary Schools,422,73,68,182,1440,1622,495,2185,3.9816933638443937
Montessori Schools,21,2,1,3,147,150,23,174,4.454022988505747
Butcher,368,296,468,1397,2967,4364,664,5496,4.146106259097525
Airlines,3725,591,464,732,997,1729,4316,6509,2.1834383161776003
Public Markets,5,24,97,328,731,1059,29,1185,4.481856540084388
Computers,2493,712,676,1161,3970,5131,3205,9012,3.377607634265424
Guitar Stores,129,52,49,91,269,360,181,590,3.5406779661016947
Musical Instrument Services,173,58,58,118,642,760,231,1049,3.9513822688274547
Screen Printing,190,75,81,185,775,960,265,1306,3.980091883614089
Beer Hall,43,34,42,36,20,56,77,175,2.7485714285714287
Laser Hair Removal,1103,300,217,496,4849,5345,1403,6965,4.103804737975592
Ear Nose & Throat,396,71,32,89,467,556,467,1055,3.1516587677725116
Garage Door Services,448,71,71,172,4161,4333,519,4923,4.528945764777575
Religious Organizations,262,121,240,628,2424,3052,383,3675,4.314557823129252
Churches,183,80,134,395,1891,2286,263,2683,4.3906075288855755
Float Spa,26,10,18,53,388,441,36,495,4.5494949494949495
Oxygen Bars,23,11,9,33,238,271,34,314,4.439490445859873
Pawn Shops,479,196,265,291,1115,1406,675,2346,3.582693947144075
Baby Gear & Furniture,707,297,344,702,1667,2369,1004,3717,3.625504439063761
RV Parks,157,57,78,141,186,327,214,619,3.2294022617124396
Modern European,556,720,1267,2914,4308,7222,1276,9765,3.9931387608806963
Art Schools,103,51,75,301,1279,1580,154,1809,4.4383637368711994
Hungarian,66,63,108,234,249,483,129,720,3.745833333333333
Gay Bars,674,352,639,1126,1318,2444,1026,4109,3.5018252616208323
Casinos,21948,14485,19419,29694,23470,53164,36433,109016,3.1674341381081677
Infectious Disease Specialists,4,0,0,1,6,7,4,11,3.4545454545454546
Landmarks & Historical Buildings,221,322,966,2690,4395,7085,543,8594,4.246916453339539
Vehicle Shipping,35,3,2,5,202,207,38,247,4.3603238866396765
Vinyl Siding,89,10,4,15,135,150,99,253,3.383399209486166
Boating,174,73,94,269,749,1018,247,1359,3.9904341427520236
ATV Rentals/Tours,90,25,15,59,695,754,115,884,4.407239819004525
Motorcycle Gear,290,42,39,111,649,760,332,1131,3.6958443854995577
Check Cashing/Pay-day Loans,165,32,29,45,402,447,197,673,3.723625557206538
Malaysian,347,388,794,1733,1758,3491,735,5020,3.8300796812749005
Baseball Fields,68,92,261,610,778,1388,160,1809,4.071310116086235
British,1046,1399,2635,5876,6484,12360,2445,17440,3.8803325688073396
Patisserie/Cake Shop,150,174,379,906,1955,2861,324,3564,4.218294051627385
Haunted Houses,151,95,107,121,198,319,246,672,3.1785714285714284
Pet Breeders,62,12,7,14,164,178,74,259,3.7953667953667956
Mongolian,396,403,623,1154,1331,2485,799,3907,3.670847197338111
Dim Sum,2673,2452,4573,7300,4962,12262,5125,21960,3.4292349726775955
Sleep Specialists,77,4,4,12,144,156,81,241,3.5892116182572615
Beaches,86,50,122,327,342,669,136,927,3.8511326860841426
Social Clubs,992,901,1339,1540,1337,2877,1893,6109,3.2175478801767885
Home Theatre Installation,115,26,24,42,1316,1358,141,1523,4.587655942219304
Libraries,107,175,346,865,1241,2106,282,2734,4.081931236283833
Musicians,152,155,281,485,604,1089,307,1677,3.7358378056052475
Market Stalls,1,10,37,150,525,675,11,723,4.643153526970955
Telecommunications,709,63,53,103,577,680,772,1505,2.8511627906976744
Bubble Tea,1263,1280,2271,4550,9068,13618,2543,18432,4.024305555555555
Occupational Therapy,180,29,29,37,281,318,209,556,3.3776978417266186
Speech Therapists,80,14,14,15,130,145,94,253,3.399209486166008
Commercial Real Estate,257,20,11,29,782,811,277,1099,3.9636032757051867
Web Design,299,27,25,75,1806,1881,326,2232,4.371863799283154
Guns & Ammo,767,294,333,865,3951,4816,1061,6210,4.1173913043478265
Basketball Courts,41,25,46,69,97,166,66,278,3.5611510791366907
Eyebrow Services,477,196,148,459,3998,4457,673,5278,4.384046987495263
Employment Law,60,1,1,12,291,303,61,365,4.295890410958904
Payroll Services,51,9,2,10,494,504,60,566,4.567137809187279
Flea Markets,68,74,148,183,214,397,142,687,3.583697234352256
Yelp Events,41,38,75,237,967,1204,79,1358,4.510309278350515
Cantonese,1468,957,1411,2562,2698,5260,2425,9096,3.446899736147757
Hostels,224,139,222,482,731,1213,363,1798,3.7547274749721913
Face Painting,15,4,2,5,301,306,19,327,4.752293577981652
Divorce & Family Law,249,14,6,29,960,989,263,1258,4.142289348171701
Mediators,11,0,0,1,49,50,11,61,4.262295081967213
Allergists,211,36,21,63,405,468,247,736,3.563858695652174
Carpenters,25,5,2,8,272,280,30,312,4.592948717948718
Drywall Installation & Repair,81,12,12,29,1080,1109,93,1214,4.659802306425041
Cabinetry,236,52,27,57,998,1055,288,1370,4.116058394160584
Horse Equipment Shops,19,6,8,15,34,49,25,82,3.475609756097561
Farming Equipment,17,10,7,13,38,51,27,85,3.5294117647058822
Livestock Feed & Supply,17,5,11,32,164,196,22,229,4.401746724890829
University Housing,330,70,54,96,231,327,400,781,2.7797695262483995
Cooking Schools,147,61,84,282,759,1041,208,1333,4.084021005251313
Furniture Repair,54,12,6,19,348,367,66,439,4.355353075170843
Furniture Assembly,56,11,10,16,354,370,67,447,4.344519015659955
Arabian,205,112,165,410,1126,1536,317,2018,4.060455896927651
Home Health Care,393,34,31,66,725,791,427,1249,3.55724579663731
Meditation Centers,33,19,32,96,548,644,52,728,4.520604395604396
Pressure Washers,114,23,20,54,1833,1887,137,2044,4.697162426614481
Animal Shelters,413,114,137,260,1038,1298,527,1962,3.711518858307849
Town Car Service,34,2,1,7,123,130,36,167,4.095808383233533
Art Supplies,472,306,424,877,1284,2161,778,3363,3.6526910496580434
Psychiatrists,201,15,11,15,160,175,216,402,2.7960199004975124
Condominiums,51,17,19,36,61,97,68,184,3.2119565217391304
Plus Size Fashion,335,87,81,195,694,889,422,1392,3.593390804597701
Hydro-jetting,40,4,9,16,365,381,44,434,4.525345622119816
Currency Exchange,37,4,10,39,139,178,41,229,4.043668122270742
Architects,28,6,13,82,220,302,34,349,4.318051575931232
Summer Camps,164,87,85,295,1012,1307,251,1643,4.158855751673768
Brazilian,1138,847,1220,2264,3917,6181,1985,9386,3.7431280630726613
Bistros,204,261,482,1096,1072,2168,465,3115,3.8253611556982343
Motorsport Vehicle Dealers,56,8,3,11,60,71,64,138,3.079710144927536
Driving Schools,136,41,61,100,949,1049,177,1287,4.309246309246309
Ethnic Grocery,56,33,58,124,137,261,89,408,3.6200980392156863
Airport Terminals,29,19,44,142,78,220,48,312,3.7083333333333335
Boat Charters,75,33,65,159,304,463,108,636,3.9182389937106916
Beer Tours,4,3,11,32,55,87,7,105,4.247619047619048
Life Insurance,85,12,0,14,584,598,97,695,4.438848920863309
Jet Skis,17,9,3,6,188,194,26,223,4.520179372197309
Osteopathic Physicians,93,20,9,27,218,245,113,367,3.7002724795640325
Architectural Tours,4,4,10,81,146,227,8,245,4.473469387755102
Henna Artists,97,33,30,85,1347,1432,130,1592,4.603015075376884
Cycling Classes,74,38,56,199,1139,1338,112,1506,4.52124833997344
Retirement Homes,146,24,15,32,369,401,170,586,3.7747440273037545
Tennis,90,59,84,239,425,664,149,897,3.947603121516165
Cabaret,64,43,57,87,194,281,107,445,3.68314606741573
Cooking Classes,59,55,62,171,460,631,114,807,4.137546468401487
Wine Tasting Classes,4,2,8,7,25,32,6,46,4.021739130434782
Tasting Classes,47,52,135,196,291,487,99,721,3.8765603328710125
Traditional Chinese Medicine,119,33,29,100,949,1049,152,1230,4.404065040650407
Cosmetology Schools,471,137,163,448,876,1324,608,2095,3.5350835322195704
Business Law,61,4,0,9,383,392,65,457,4.420131291028446
Travel Agents,101,4,7,8,60,68,105,180,2.566666666666667
Soccer,82,32,76,152,252,404,114,594,3.774410774410774
Jazz & Blues,615,608,984,2341,2821,5162,1223,7369,3.833898765097028
Skydiving,20,3,16,56,334,390,23,429,4.5874125874125875
Lakes,27,31,56,215,675,890,58,1004,4.47410358565737
Holistic Animal Care,7,1,1,2,86,88,8,97,4.639175257731959
College Counseling,28,4,4,14,49,63,32,99,3.525252525252525
Water Purification Services,621,71,44,94,1866,1960,692,2696,3.932121661721068
Knife Sharpening,16,5,4,17,169,186,21,211,4.507109004739337
RV Rental,386,45,35,101,517,618,431,1084,3.293357933579336
Opera & Ballet,65,36,67,201,420,621,101,789,4.108998732572877
Immigration Law,56,9,3,6,277,283,65,351,4.250712250712251
Private Tutors,27,5,3,33,461,494,32,529,4.693761814744802
Cheese Shops,198,173,281,988,1942,2930,371,3582,4.201284198771636
Fitness/Exercise Equipment,158,58,84,111,261,372,216,672,3.3854166666666665
Periodontists,561,88,48,127,2349,2476,649,3173,4.139300346675071
Tubing,12,11,17,29,87,116,23,156,4.076923076923077
Homeowner Association,20,1,0,4,23,27,21,48,3.1875
Water Delivery,278,15,7,26,235,261,293,561,2.8663101604278074
Photo Booth Rentals,28,2,8,28,974,1002,30,1040,4.844230769230769
Pain Management,208,32,15,34,580,614,240,869,3.858457997698504
Party Bus Rentals,304,50,43,149,1435,1584,354,1981,4.191822311963655
Outdoor Furniture Stores,114,38,65,107,350,457,152,674,3.8026706231454006
Macarons,148,225,390,991,1661,2652,373,3415,4.110395314787701
Car Window Tinting,181,39,36,100,2227,2327,220,2583,4.6078203639179245
Home Organization,160,26,24,57,1041,1098,186,1308,4.370795107033639
TV Mounting,28,5,6,10,516,526,33,565,4.736283185840708
Demolition Services,10,0,1,4,139,143,10,154,4.701298701298701
Leisure Centers,105,59,130,356,718,1074,164,1368,4.113304093567251
Massage Schools,46,20,27,76,194,270,66,363,3.9696969696969697
Surgeons,206,31,23,51,445,496,237,756,3.6587301587301586
Cryotherapy,5,2,2,4,212,216,7,225,4.848888888888889
Skate Parks,42,23,38,95,161,256,65,359,3.863509749303621
Perfume,2,0,6,30,43,73,2,81,4.382716049382716
Country Dance Halls,274,151,170,298,404,702,425,1297,3.3138010794140325
Public Relations,42,11,9,8,108,116,53,178,3.7247191011235956
Colombian,82,67,130,521,1293,1814,149,2093,4.3741041567128525
General Litigation,103,6,3,17,729,746,109,858,4.472027972027972
Historical Tours,12,8,11,50,303,353,20,384,4.625
Food Tours,13,3,15,73,566,639,16,670,4.755223880597015
Home Staging,59,14,15,52,848,900,73,988,4.635627530364372
African,738,778,1240,2108,2544,4652,1516,7408,3.6671166306695464
Swimwear,101,52,83,123,403,526,153,762,3.8858267716535435
Teeth Whitening,104,23,25,63,836,899,127,1051,4.431018078020933
Medical Cannabis Referrals,22,7,5,9,91,100,29,134,4.044776119402985
Cannabis Dispensaries,117,44,37,72,608,680,161,878,4.150341685649202
Cannabis Tours,7,2,1,6,33,39,9,49,4.142857142857143
Radiologists,511,106,89,108,375,483,617,1189,2.7729184188393607
Races & Competitions,69,39,61,119,140,259,108,428,3.5186915887850465
Souvenir Shops,105,113,353,618,813,1431,218,2002,3.9595404595404595
Vehicle Wraps,83,21,3,29,1220,1249,104,1356,4.682890855457227
Pet Adoption,415,98,97,203,871,1074,513,1684,3.603919239904988
Paint-Your-Own Pottery,46,12,28,84,153,237,58,323,3.8854489164086687
Recording & Rehearsal Studios,33,6,12,25,203,228,39,279,4.28673835125448
Donairs,43,46,72,127,219,346,89,507,3.854043392504931
Auto Loan Providers,778,90,69,116,736,852,868,1789,2.967579653437675
Holiday Decorating Services,12,3,0,0,58,58,15,73,4.219178082191781
Emergency Rooms,607,123,65,144,580,724,730,1519,2.978275181040158
Cardio Classes,169,49,60,150,500,650,218,928,3.822198275862069
Russian,126,142,248,655,1106,1761,268,2277,4.086078173034695
Brewing Supplies,22,8,16,59,232,291,30,337,4.397626112759644
Ethiopian,199,211,461,1267,1457,2724,410,3595,3.9936022253129346
Grilling Equipment,11,1,2,8,80,88,12,102,4.421568627450981
Mailbox Centers,111,19,12,31,340,371,130,513,3.9161793372319686
Party Equipment Rentals,221,51,65,179,1703,1882,272,2219,4.393420459666516
Pet Cremation Services,63,10,13,17,234,251,73,337,4.035608308605341
Vascular Medicine,9,1,1,1,22,23,10,34,3.764705882352941
Nurse Practitioner,11,0,2,4,51,55,11,68,4.235294117647059
Guest Houses,51,24,66,202,314,516,75,657,4.071537290715373
Curry Sausage,17,23,61,105,136,241,40,342,3.935672514619883
Personal Shopping,184,71,81,243,831,1074,255,1410,4.039716312056737
Persian/Iranian,609,447,711,1622,2921,4543,1056,6310,3.9190174326465925
Aquariums,355,434,772,1213,1448,2661,789,4222,3.702273803884415
Botanical Gardens,95,170,369,980,2080,3060,265,3694,4.293990254466703
Awnings,36,3,3,9,153,162,39,204,4.176470588235294
Patio Coverings,78,17,6,22,540,562,95,663,4.4012066365007545
Aquarium Services,81,25,27,77,331,408,106,541,4.020332717190388
Bus Tours,180,59,43,90,460,550,239,832,3.7103365384615383
Moroccan,174,197,275,655,1239,1894,371,2540,4.018897637795275
Clock Repair,9,5,1,8,48,56,14,71,4.140845070422535
Fingerprinting,18,2,4,20,243,263,20,287,4.630662020905923
Data Recovery,273,27,30,87,1732,1819,300,2149,4.385760818985575
Religious Schools,7,2,0,8,64,72,9,81,4.481481481481482
Screen Printing/T-Shirt Printing,133,17,17,64,1109,1173,150,1340,4.49179104477612
Skating Rinks,174,102,179,380,355,735,276,1190,3.53781512605042
Gutter Services,75,9,5,15,607,622,84,711,4.504922644163151
Wine Tasting Room,34,27,35,133,361,494,61,590,4.288135593220339
Ticket Sales,265,84,152,345,772,1117,349,1618,3.788009888751545
Pool & Billiards,64,19,15,31,273,304,83,402,4.069651741293533
Horse Boarding,18,3,1,9,75,84,21,106,4.132075471698113
Motorcycle Rental,93,15,9,27,283,310,108,427,3.918032786885246
Cultural Center,38,45,82,236,352,588,83,753,4.087649402390438
Dental Hygienists,15,0,2,12,128,140,15,157,4.515923566878981
Shutters,138,37,16,34,789,823,175,1014,4.281065088757397
Countertop Installation,87,15,13,20,372,392,102,507,4.134122287968442
Debt Relief Services,34,1,1,6,75,81,35,117,3.7435897435897436
Psychics & Astrologers,164,84,206,543,1681,2224,248,2678,4.304331590739357
Scottish,68,112,316,649,796,1445,180,1941,4.026790314270994
Anesthesiologists,91,11,7,9,92,101,102,210,3.0
Art Museums,43,77,180,569,765,1334,120,1634,4.184822521419829
Irish Pub,649,503,843,1770,1733,3503,1152,5498,3.6247726445980355
Packing Supplies,95,7,6,23,436,459,102,567,4.231040564373898
Buddhist Temples,3,3,3,47,111,158,6,167,4.5568862275449105
Concept Shops,1,3,5,7,31,38,4,47,4.361702127659575
Uzbek,10,6,10,39,44,83,16,109,3.926605504587156
