Category,1 Star Reviews,2 Star Reviews,3 Star Reviews,4 Star Reviews,5 Star Reviews,Positive Reviews,Negative Reviews,All Reviews Count,Average Rating
Fashion,14591,6811,10180,18434,30382,48816,21402,80398,3.5373889897758652
Shoe Stores,2334,1012,1530,3102,5283,8385,3346,13261,3.6023678455621746
Accessories,2454,1056,1723,3391,7064,10455,3510,15688,3.7365502294747577
Women's Clothing,4502,2319,3478,6314,10184,16498,6821,26797,3.5731611747583685
Men's Clothing,3076,1551,2293,3976,6641,10617,4627,17537,3.5448480355819125
Department Stores,6012,2991,4387,6483,5516,11999,9003,25389,3.098467840403324
Irish,1601,1617,2665,5190,4511,9701,3218,15584,3.602733572895277
Massage,5171,2113,2086,5682,26269,31951,7284,41321,4.107548220033397
Reflexology,1041,380,322,900,4925,5825,1421,7568,4.0951374207188165
Auto Insurance,424,33,20,52,1563,1615,457,2092,4.097992351816443
Body Shops,2812,468,299,715,9199,9914,3280,13493,3.965018898688209
Insurance,1361,127,93,194,3633,3827,1488,5408,3.8526257396449703
Shipping Centers,3309,530,518,794,2728,3522,3839,7879,2.88602614544993
Printing Services,2295,492,453,861,4767,5628,2787,8868,3.599120433017591
Public Services & Government,3351,1179,2282,5050,8227,13277,4530,20089,3.678132311215093
Notaries,947,143,130,288,1847,2135,1090,3355,3.5797317436661698
Post Offices,1425,283,358,421,667,1088,1708,3154,2.5630944831959415
Pizza,34120,24622,33459,71097,105428,176525,58742,268726,3.7036572568340986
Car Dealers,15087,2337,1660,3885,21415,25300,17424,44384,3.3200252343186736
Hardware Stores,1814,634,719,1488,2771,4259,2448,7426,3.372744411527067
Appliances,3434,807,756,1382,4463,5845,4241,10842,3.2428518723482753
Home Decor,4171,1492,2053,4233,9969,14202,5663,21918,3.6541199014508625
Building Supplies,1699,481,509,1064,3447,4511,2180,7200,3.566527777777778
Motorcycle Repair,652,105,87,255,2223,2478,757,3322,3.990969295605057
Skin Care,6772,2496,2072,5407,36748,42155,9268,53495,4.175119170015889
Nail Salons,17064,6268,4751,10792,51521,62313,23332,90396,3.812403203681579
Asian Fusion,14332,14791,22146,42738,58200,100938,29123,152207,3.760037317600373
Sushi Bars,17955,16390,23372,46696,66464,113160,34345,170877,3.745120759376628
Specialty Food,8351,7609,13282,32997,55281,88278,15960,117520,4.014703880190606
French,4173,5659,9366,21593,32849,54442,9832,73640,3.9951928299837047
Delicatessen,132,180,364,1152,1478,2630,312,3306,4.1082879612825165
Beer,8572,8283,12528,27012,38432,65444,16855,94827,3.8272854777647716
Wine & Spirits,8572,8283,12528,27012,38432,65444,16855,94827,3.8272854777647716
Property Management,3661,299,185,431,2796,3227,3960,7372,2.7832338578404774
Real Estate,14402,2348,1707,3441,17074,20515,16750,38972,3.1651698655444935
Apartments,8279,1546,1099,2214,5434,7648,9825,18572,2.7295929356019815
Fast Food,29804,15623,19317,31620,39349,70969,45427,135713,3.2585382387833146
Delis,6102,5253,7584,16739,25627,42366,11355,61305,3.824337329744719
Gift Shops,844,369,619,1483,3557,5040,1213,6872,3.951688009313155
Donuts,2859,1891,2436,5044,10736,15780,4750,22966,3.82326047200209
Transmission Repair,784,147,90,293,4199,4492,931,5513,4.265372755305641
Music Venues,6418,5081,8155,16090,17587,33677,11499,53331,3.6252836061577693
DJs,151,52,90,230,1147,1377,203,1670,4.299401197604791
Event Planning & Services,50105,34552,47854,88723,124876,213599,84657,346110,3.5885787755337897
Venues & Event Spaces,8157,7202,11098,22821,31165,53986,15359,80443,3.766194696866104
Lounges,10478,8987,14709,28741,35084,63825,19465,97999,3.703741874917091
Movers,3063,305,223,619,9041,9660,3368,13251,3.925967851482907
Departments of Motor Vehicles,593,154,221,358,752,1110,747,2078,3.251203079884504
Hotels & Travel,54733,26426,35576,59492,67492,126984,81159,243719,3.2403751861775243
Car Rental,8191,1208,911,1777,5276,7053,9399,17363,2.696999366468928
Piercing,633,183,153,440,5423,5863,816,6832,4.4398419203747075
Tattoo,1075,301,243,702,10181,10883,1376,12502,4.488801791713326
American (New),44366,46689,68170,132809,177510,310319,91055,469544,3.750532431465422
Midwives,124,23,18,34,515,549,147,714,4.110644257703081
Museums,616,816,1790,5124,8096,13220,1432,16442,4.171876900620362
Glass & Mirrors,261,53,34,86,1366,1452,314,1800,4.246111111111111
Window Washing,353,67,46,173,2302,2475,420,2941,4.36144168650119
Laundry Services,2847,622,552,1460,4957,6417,3469,10438,3.484575589193332
Laundromat,145,60,103,235,415,650,205,958,3.7463465553235906
Dry Cleaning & Laundry,2906,635,573,1529,5197,6726,3541,10840,3.5051660516605168
Auto Parts & Supplies,9490,1544,1006,2611,18974,21585,11034,33625,3.5958364312267657
Ice Cream & Frozen Yogurt,6292,5689,9800,21108,35387,56495,11981,78276,3.9403776381010784
Desserts,12403,13270,21795,43620,72174,115794,25673,163262,3.9181070916686065
Cupcakes,972,939,1211,2348,6166,8514,1911,11636,4.013836369886559
Candy Stores,643,542,1003,2097,3406,5503,1185,7691,3.9206865167078404
Popcorn Shops,41,45,74,350,1022,1372,86,1532,4.4797650130548305
Eyewear & Opticians,1998,525,468,1052,6710,7762,2523,10753,3.925416162931275
Medical Supplies,335,51,39,106,840,946,386,1371,3.7768052516411377
Newspapers & Magazines,70,51,122,246,221,467,121,710,3.7
Books,1458,885,1645,4182,7476,11658,2343,15646,3.979994886872044
Mags,1458,885,1645,4182,7476,11658,2343,15646,3.979994886872044
Music & Video,1458,885,1645,4182,7476,11658,2343,15646,3.979994886872044
Print Media,286,50,60,94,585,679,336,1075,3.5972093023255813
Mass Media,717,124,140,245,981,1226,841,2207,3.294064340734028
Arts & Crafts,1679,878,1440,3501,7576,11077,2557,15074,3.956415019238424
Art Galleries,559,443,812,2459,6171,8630,1002,10444,4.267713519724244
Framing,87,44,60,140,672,812,131,1003,4.262213359920239
Bridal,1406,463,390,830,5505,6335,1869,8594,3.996625552711194
Photographers,616,154,106,329,5622,5951,770,6827,4.492163468580635
Session Photography,265,66,34,144,3093,3237,331,3602,4.591893392559689
Event Photography,244,54,45,103,3350,3453,298,3796,4.649367755532139
Luggage,136,59,74,133,416,549,195,818,3.7750611246943766
Mobile Phones,6160,1403,1250,1747,6776,8523,7563,17336,3.090909090909091
Mobile Phone Accessories,592,64,54,126,1197,1323,656,2033,3.6256763403836696
Rafting/Kayaking,76,46,50,244,1038,1282,122,1454,4.4594222833562585
Sporting Goods,2950,1243,1464,3908,12217,16125,4193,21782,3.9732347810118447
Outdoor Gear,695,299,381,1068,2395,3463,994,4838,3.861719718892104
Paddleboarding,23,9,11,33,389,422,32,465,4.625806451612903
Tours,2023,608,875,2335,9004,11339,2631,14845,4.056854159649713
Rock Climbing,54,39,54,238,531,769,93,916,4.258733624454148
Education,3488,1149,1582,4145,15532,19677,4637,25896,4.045875810936052
Diving,41,11,6,23,308,331,52,389,4.403598971722365
Rehabilitation Center,399,44,35,69,724,793,443,1271,3.5310778914240757
Massage Therapy,1932,720,583,1708,12397,14105,2652,17340,4.26401384083045
Parks,605,579,1497,5076,8081,13157,1184,15838,4.227995959085743
Playgrounds,336,293,484,1294,2350,3644,629,4757,4.057178894261089
Gyms,5186,2222,2669,5293,14696,19989,7408,30066,3.7347502161910464
Fitness & Instruction,6557,2962,3640,8001,28785,36786,9519,49945,3.9909900890980077
Sports Clubs,1462,785,932,1436,2676,4112,2247,7291,3.4223014675627486
Ethnic Food,2642,2293,4331,10444,15521,25965,4935,35231,3.9624762283216484
Tea Rooms,920,1121,2087,4228,7043,11271,2041,15399,3.997012793038509
Used Car Dealers,1396,204,121,312,1930,2242,1600,3963,3.2967448902346708
Bike Rentals,358,170,126,516,2988,3504,528,4158,4.348244348244348
Bikes,865,401,290,1074,4874,5948,1266,7504,4.158182302771855
Bike Repair/Maintenance,337,141,97,374,2721,3095,478,3670,4.362670299727521
Shaved Ice,420,392,737,2060,5136,7196,812,8745,4.269296740994855
Juice Bars & Smoothies,5511,4563,6443,13604,27024,40628,10074,57145,3.911138332312538
Photography Stores & Services,1463,402,517,993,2219,3212,1865,5594,3.3759385055416518
Cosmetics & Beauty Supply,4641,1576,1814,3952,12907,16859,6217,24890,3.759662515066292
Drugstores,6083,2278,2918,4101,4417,8518,8361,19797,2.9237763297469312
Waffles,873,773,1032,2163,3994,6157,1646,8835,3.86383701188455
Vape Shops,716,234,204,500,5595,6095,950,7249,4.38281142226514
Korean,4808,4581,8445,16348,20119,36467,9389,54301,3.780630190972542
Caterers,7225,6423,9146,19868,33661,53529,13648,76323,3.8688992833090943
Wraps,329,180,274,520,1095,1615,509,2398,3.780650542118432
Towing,1648,180,87,294,3683,3977,1828,5892,3.7101154107264085
Family Practice,2777,516,250,592,3016,3608,3293,7151,3.0774716822821984
Sewing & Alterations,1350,345,267,818,5613,6431,1695,8393,4.072203026331467
Hats,56,17,35,59,233,292,73,400,3.99
Junk Removal & Hauling,331,51,30,89,1384,1473,382,1885,4.137400530503979
Boat Repair,84,7,10,21,356,377,91,478,4.167364016736402
Trailer Repair,30,3,5,3,201,204,33,242,4.413223140495868
Commercial Truck Repair,46,8,1,11,235,246,54,301,4.26578073089701
Roadside Assistance,305,38,24,57,574,631,343,998,3.55811623246493
Cosmetic Dentists,2972,521,270,721,14082,14803,3493,18566,4.207583755251535
General Dentistry,4184,711,376,1021,18291,19312,4895,24583,4.160314038156449
Dentists,5036,866,489,1296,23337,24633,5902,31024,4.193656523981434
Orthodontists,1650,281,158,365,6823,7188,1931,9277,4.124285868276383
Vegetarian,6567,7186,11540,27602,41242,68844,13753,94137,3.9535676726473117
Pest Control,1078,149,109,333,5313,5646,1227,6982,4.239472930392438
Tex-Mex,5363,4353,5374,9208,10553,19761,9716,34851,3.4371467102809103
Swabian,145,225,426,791,899,1690,370,2486,3.834271922767498
Wine Bars,7594,8124,12283,27391,42963,70354,15718,98355,3.915103451781811
Cajun/Creole,2258,2305,3428,7325,10118,17443,4563,25434,3.815443894000157
Powder Coating,23,5,1,8,208,216,28,245,4.522448979591837
Auto Customization,443,65,54,199,4638,4837,508,5399,4.578810890905723
Indian,5981,4531,7182,16132,21731,37863,10512,55557,3.7757978292564394
Bespoke Clothing,110,23,24,53,1006,1059,133,1216,4.498355263157895
Formal Wear,635,166,157,293,1626,1919,801,2877,3.733055265901981
Cardiologists,262,46,31,70,371,441,308,780,3.31025641025641
Keys & Locksmiths,588,61,52,220,4863,5083,649,5784,4.505705394190872
Security Systems,987,108,88,192,3024,3216,1095,4399,3.945214821550352
Nutritionists,390,120,84,311,3354,3665,510,4259,4.436722235266495
Acupuncture,425,126,122,391,3696,4087,551,4760,4.4300420168067225
Furniture Stores,5042,1287,1490,3127,8691,11818,6329,19637,3.4653460304527166
Lighting Fixtures & Equipment,595,130,124,300,2072,2372,725,3221,3.9698851288419745
Interior Design,924,198,181,351,2587,2938,1122,4241,3.82032539495402
Oral Surgeons,1356,241,130,328,5141,5469,1597,7196,4.0640633685380765
Barre Classes,188,68,112,326,1727,2053,256,2421,4.377942998760843
Japanese,19059,18292,28525,55864,77008,132872,37351,198748,3.7721838710326643
Private Investigation,14,6,6,27,295,322,20,348,4.675287356321839
Security Services,174,9,7,28,488,516,183,706,3.91643059490085
Shoe Repair,513,95,85,310,1861,2171,608,2864,4.01641061452514
Barbeque,11182,10254,14252,29533,43914,73447,21436,109135,3.7764969991295185
Cafes,11049,11368,18019,39048,62039,101087,22417,141523,3.916176169244575
Masonry/Concrete,310,47,25,58,1298,1356,357,1738,4.143268124280783
Hot Dogs,2658,2488,3774,7522,11687,19209,5146,28129,3.820932134096484
Ski & Snowboard Shops,16,8,8,23,95,118,24,150,4.153333333333333
Ophthalmologists,975,248,204,326,1862,2188,1223,3615,3.5123098201936376
Endodontists,562,80,42,126,2995,3121,642,3805,4.290932982917214
Endocrinologists,220,28,10,22,169,191,248,449,2.7594654788418707
Internal Medicine,966,157,102,195,1162,1357,1123,2582,3.166537567776917
Chocolatiers & Shops,693,695,1529,3800,5617,9417,1388,12334,4.05018647640668
Leather Goods,410,104,163,453,1414,1867,514,2544,3.926493710691824
Dance Clubs,8666,5202,7825,12179,12886,25065,13868,46758,3.329718978570512
Karaoke,1547,1103,1817,3668,4837,8505,2650,12972,3.7049799568300954
Comedy Clubs,554,373,607,1370,2230,3600,927,5134,3.8470977795091548
Caribbean,1410,1419,2355,5473,7626,13099,2829,18283,3.901711972870973
Home Cleaning,2500,471,393,1180,11140,12320,2971,15684,4.146965059933691
Carpet Cleaning,1510,231,157,442,9066,9508,1741,11406,4.343415746098545
Cinema,1950,1694,2907,6131,6078,12209,3644,18760,3.6765991471215353
Auto Glass Services,1892,385,244,655,9681,10336,2277,12857,4.232635918176869
Home Window Tinting,273,43,32,136,3877,4013,316,4361,4.674157303370786
Electronics,5617,1263,1104,2092,7431,9523,6880,17507,3.254583880733421
IT Services & Computer Repair,3721,734,638,1354,11359,12713,4455,17806,3.892732786701112
Pet Services,5533,1431,1240,3331,24596,27927,6964,36131,4.107802164346406
Pet Groomers,3492,967,854,2227,14242,16469,4459,21782,4.044899458268295
Pets,8145,2172,1982,5180,34581,39761,10317,52060,4.073376872839032
Pet Training,1371,389,438,827,3996,4823,1760,7021,3.8101410055547644
Pet Stores,2748,774,878,2190,8035,10225,3522,14625,3.81982905982906
Specialty Schools,1554,533,674,1969,8695,10664,2087,13425,4.1708007448789575
Car Stereo Installation,754,141,125,221,2236,2457,895,3477,3.8754673569168823
Videographers,106,10,11,27,846,873,116,1000,4.497
Video/Film Production,146,29,15,58,902,960,175,1150,4.34
Television Service Providers,2804,222,136,223,615,838,3026,4000,1.90575
Internet Service Providers,4365,382,194,333,1254,1587,4747,6528,2.0393688725490198
Furniture Reupholstery,201,34,32,99,1540,1639,235,1906,4.439139559286464
Auto Upholstery,41,4,6,9,306,315,45,366,4.461748633879782
Distilleries,36,54,110,305,631,936,90,1136,4.268485915492958
Wineries,217,207,311,842,1418,2260,424,2995,4.014023372287145
Pakistani,1876,1367,2115,4301,5402,9703,3243,15061,3.66303698293606
Veterinarians,3229,817,597,1654,13659,15313,4046,19956,4.087241932250952
Laser Eye Surgery/Lasik,392,105,77,164,1371,1535,497,2109,3.9563774300616408
Orthopedists,778,130,82,147,1011,1158,908,2148,3.224860335195531
Physical Therapy,1207,273,215,517,4745,5262,1480,6957,4.052177662785684
Sports Medicine,581,130,77,196,1942,2138,711,2926,3.9528366370471635
Hair Extensions,1609,420,307,795,11272,12067,2029,14403,4.367840033326391
Beer Garden,247,285,571,1023,892,1915,532,3018,3.6719681908548707
German,1085,1383,2636,5548,5945,11493,2468,16597,3.836596975356992
Dry Cleaning,576,99,75,208,906,1114,675,1864,3.4125536480686693
Paint Stores,128,36,40,83,265,348,164,552,3.5815217391304346
Wedding Planning,1187,561,761,1739,7060,8799,1748,11308,4.142907675981606
Handyman,880,114,73,261,5429,5690,994,6757,4.368210744413201
Painters,347,80,48,127,2808,2935,427,3410,4.457184750733138
Septic Services,114,18,15,45,773,818,132,965,4.393782383419689
Water Heater Installation/Repair,852,97,79,198,4244,4442,949,5470,4.2586837294332724
Plumbing,3252,403,241,671,11233,11904,3655,15800,4.027215189873417
Eyelash Service,3779,1346,966,2455,21564,24019,5125,30110,4.218166722019263
Home & Rental Insurance,318,23,13,42,1260,1302,341,1656,4.149154589371981
Beer Bar,1913,2039,3325,6568,8995,15563,3952,22840,3.818432574430823
Limos,1422,233,145,380,3166,3546,1655,5346,3.679947624392069
Transportation,8991,1573,1709,2910,6988,9898,10564,22171,2.879617518379866
Video Game Stores,134,42,74,164,483,647,176,897,3.9141583054626534
Videos & Video Game Rental,429,222,290,681,1384,2065,651,3006,3.788090485695276
Wholesalers,116,62,145,229,319,548,178,871,3.6578645235361655
Restaurant Supplies,24,4,13,36,77,113,28,154,3.896103896103896
Wholesale Stores,629,238,511,1245,2684,3929,867,5307,3.964198228754475
Buffets,12702,11071,15775,23358,23119,46477,23773,86025,3.385015983725661
Yoga,1909,1054,1277,2622,9181,11803,2963,16043,4.00430094122047
Medical Spas,1970,465,336,884,9600,10484,2435,13255,4.182874387023765
Day Spas,9263,4505,4711,11700,36694,48394,13768,66873,3.927982892946331
Graphic Design,395,54,36,164,2626,2790,449,3275,4.396030534351145
Sports Wear,1004,440,638,1503,3151,4654,1444,6736,3.7952790973871733
Golf Equipment,94,53,59,109,316,425,147,631,3.792393026941363
Vietnamese,5589,5255,8870,18368,21445,39813,10844,59527,3.7530196381473955
Appliances & Repair,2331,270,202,499,6145,6644,2601,9447,3.831692600825659
Cards & Stationery,281,149,302,891,1706,2597,430,3329,4.079002703514569
Door Sales/Installation,430,85,54,142,2215,2357,515,2926,4.239576213260424
Windows Installation,594,107,64,160,2661,2821,701,3586,4.167596207473508
Mediterranean,7315,7008,10539,25073,42684,67757,14323,92619,3.958798950539306
Stadiums & Arenas,515,445,1070,2544,2431,4975,960,7005,3.8466809421841544
Airport Lounges,115,118,194,294,402,696,233,1123,3.6678539626001783
Gluten-Free,4916,5244,7176,15105,24125,39230,10160,56566,3.8534985680444085
Electronics Repair,1479,234,176,558,7574,8132,1713,10021,4.248777567109071
Mobile Phone Repair,1588,282,222,571,7639,8210,1870,10302,4.202776159968938
Lawyers,853,60,33,130,4048,4178,913,5124,4.260733801717408
DUI Law,214,15,9,32,1131,1163,229,1401,4.3211991434689505
Career Counseling,115,14,8,22,326,348,129,485,3.88659793814433
Medical Centers,5935,1119,770,1601,7983,9584,7054,17408,3.262982536764706
Urgent Care,3167,558,377,771,3170,3941,3725,8043,3.0272286460276017
Carpeting,943,167,131,276,4009,4285,1110,5526,4.129388346000724
Latin American,2074,2201,3633,9355,15564,24919,4275,32827,4.039814786608584
Chicken Shop,1059,902,1365,2843,4159,7002,1961,10328,3.7882455460883038
Local Flavor,2178,2005,3695,8755,14640,23395,4183,31273,4.01282256259393
Civic Center,8,4,25,48,44,92,12,129,3.89922480620155
Mattresses,2862,541,450,948,4705,5653,3403,9506,3.4305701662108143
Radio Stations,96,43,49,97,187,284,139,472,3.5
Thai,8016,8105,12468,27745,37251,64996,16121,93585,3.834642303788
Smog Check Stations,1039,180,186,483,4328,4811,1219,6216,4.106981981981982
Paint & Sip,68,34,50,233,1104,1337,102,1489,4.5251846877098725
Kids Activities,706,493,570,1172,2662,3834,1199,5603,3.819382473674817
Team Building Activities,19,12,27,96,423,519,31,577,4.545927209705373
Art Classes,109,65,105,369,1635,2004,174,2283,4.469995619798511
Party & Event Planning,2582,1486,2031,4236,12865,17101,4068,23200,4.005
Colleges & Universities,645,181,283,646,1189,1835,826,2944,3.527513586956522
Pool & Hot Tub Service,715,102,55,137,2789,2926,817,3798,4.101369141653501
Customized Merchandise,130,15,22,45,500,545,145,712,4.081460674157303
Coffee Roasteries,147,223,466,1135,2170,3305,370,4141,4.197295339290027
Bagels,3230,2494,3165,5904,8890,14794,5724,23683,3.621965122661825
Office Cleaning,752,123,95,274,4349,4623,875,5593,4.3132487037368135
Hot Tub & Pool,675,107,80,171,1840,2011,782,2873,3.8332753219631046
Discount Store,2982,1234,1785,2238,2509,4747,4216,10748,3.005396352809825
Pet Boarding/Pet Sitting,2470,612,496,1354,11830,13184,3082,16762,4.161078630235055
Funeral Services & Cemeteries,182,38,35,89,725,814,220,1069,4.063610851262863
Damage Restoration,524,80,59,160,3893,4053,604,4716,4.445716709075488
Antiques,591,300,516,1285,2858,4143,891,5550,3.9944144144144142
Fences & Gates,195,42,25,68,954,1022,237,1284,4.202492211838006
Dive Bars,2017,1498,3033,6359,6833,13192,3515,19740,3.73419452887538
Wigs,331,100,146,215,579,794,431,1371,3.4456601021152444
Costumes,239,85,173,305,620,925,324,1422,3.690576652601969
Makeup Artists,1710,599,432,1151,12574,13725,2309,16466,4.353091218267946
Used,1457,721,1041,1870,3588,5458,2178,8677,3.62360262763628
Vintage & Consignment,1457,721,1041,1870,3588,5458,2178,8677,3.62360262763628
